,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,5798.406682536067,-2692.67775866701,-311.1382864968758,147.91952118843187,2913.4804748852057,2889.377811648679,-704.9361321794685,-2863.649980149316,0.0,479.77590051320493,5.75543571283349,-65.41769203981254,207.90046134760263,1.7666521823103836,371.6926851416449,0.048859356154650285,11.798910577661541,416.3332384557643,-0.0024255896822029483,270.9652716672956,30.180278740166575,-32.906679222455,124.41675950499517,539.1566833033495,97.12081922061218,605.570537518753,100.85835186178413,594.3948800665569,-27.19386005853987,-31.398251726686215,-37.245305043597305
qN,-2692.67775866701,2596.0422846821257,110.89154483348406,-118.63293364781762,-1419.6812873408876,-1598.1537893964646,391.96517975244717,1541.8635890090964,0.0,-228.08983069227423,-2.6898547626190497,87.8339835915575,-189.60382468596575,-1.0735375794926132,-221.551842324013,-0.07185456419314289,-15.82629929939133,-344.53775981926043,0.0018681177970415663,-101.1960638991429,-7.494588556075572,11.971062562892682,23.862572587313082,204.4886469858229,31.62958690981605,338.87098914841704,30.529713884525854,313.1119398253149,-14.133594520500953,-23.47833314150721,-25.75580405395541
betaG0,-311.1382864968758,110.89154483348406,5742.024379912795,3984.085809434011,-5621.885376147046,-3897.0377364175383,-25.160007869953237,106.40939217274826,0.0,-338.44836208578636,-4.191557998986655,-54.55716888459391,1.3007320312125492,-0.6068848127000659,-173.3948239743313,-0.174581720880188,23.30928550052026,108.31067061307262,-0.0006167489173993021,-11.634483195567972,-0.03643015441871521,1.3459844371749754,-53.57981759171982,-241.46148849022492,-37.537992570995854,-230.91103288092648,-37.6845204764961,-210.7910123276388,12.339924323466263,11.663688274812378,12.506611232549835
betaF0,147.91952118843187,-118.63293364781762,3984.085809434011,2904.963748865925,-3638.8457159643854,-2826.812135674482,-14.597430079763283,-144.44932653014223,0.0,-91.98250850858963,-1.12906448132559,-22.145320898678225,-2.545176760975716,-0.22638145968110684,-72.03556986735636,-0.09284131581456569,12.396608667970655,74.32298695906424,-0.0004064967871851641,-8.901984963017979,-0.01602016129886903,1.0284508214070462,-29.988183166983813,-159.36629949175813,-21.677584073704175,-162.7533677028306,-22.13170100298458,-155.6030558912514,8.963982021743128,9.453302192346273,10.8900390516137
qEG,2913.4804748852057,-1419.6812873408876,-5621.885376147046,-3638.8457159643854,10079.694901911771,4325.178133525193,-145.4793431291499,-1497.5389307477203,0.0,-1777.812992016195,-28.960482846920954,122.24138372272179,-6.437027527672997,1.4032551690494643,407.02588328323037,0.3368592548011741,-31.029105895386166,-41.13547886750288,0.00015165559830728433,2.5887134710905038,0.034535741655007585,-0.3251105074609445,88.51523656991803,288.292367326442,57.93843803292624,228.7132426388228,60.52723289053385,221.57067893496153,-12.256754782535552,-7.8839173782819705,-9.401804802071855
qEF,2889.377811648679,-1598.1537893964646,-3897.0377364175383,-2826.812135674482,4325.178133525193,5917.111077254605,-750.6092285124386,-1603.9024658692335,0.0,-37.51527309707833,-0.6440726753222756,84.65910725051423,12.356480114235897,1.01041146249549,307.0871273570039,0.34828921738176666,-21.63019817906425,-11.083363833770337,2.5472981040409194e-05,4.573690247651741,-0.005373493290700508,-0.5631515977783506,80.64563342441873,345.8500917049154,56.7648174450833,335.6441315394868,59.102719490400716,328.5658113625767,-17.204133050262225,-16.567902415900335,-19.705495678132095
iG,-704.9361321794685,391.96517975244717,-25.160007869953237,-14.597430079763283,-145.4793431291499,-750.6092285124386,191.92314615777786,398.2527798599762,0.0,27.300531153888294,0.34714753321526615,-15.826767785042609,-1.375523805921531,-0.1854908846319204,-58.09017436211415,-0.056360275000715616,2.041807364212398,-15.267617080360532,9.825350193024983e-05,1.4892297863898778,0.0034359683303755574,-0.16442400994290884,-9.840500094233846,-22.394767313499838,-6.10680116383315,-12.471993812797898,-6.6409924346332065,-14.322535282688056,0.6086254946095484,-0.14740346336784138,0.05003653778712131
iE,-2863.649980149316,1541.8635890090964,106.40939217274826,-144.44932653014223,-1497.5389307477203,-1603.9024658692335,398.2527798599762,1638.0182656989077,0.0,-287.4453305424864,-3.5303194298570966,-59.31436334502185,-1.3109409320038277,-0.7759103522120457,-209.447183411166,-0.19392468564879617,9.591173072858565,-54.37301359840248,0.0003280857995558448,4.821971960391244,0.01060259968050773,-0.5302055349055451,-51.41437588996893,-214.73081313853427,-37.72130451113693,-220.89949321289492,-39.64111317956101,-221.0842253265205,10.237002483939541,10.519774868469884,12.908327156762011
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,479.77590051320493,-228.08983069227423,-338.44836208578636,-91.98250850858963,-1777.812992016195,-37.51527309707833,27.300531153888294,-287.4453305424864,0.0,2798.644317599956,41.39572443917014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
