model,state,n_obs,wsse,wsse_per_obs,rmse,mae,obs_median,obs_range
secondary_v1_current,Pyr,313,3065.9239344012412,9.795284135467224,18.778451184185027,14.74758267473105,35.0,98.0
secondary_v1_current,AcAld,193,4855.45477775697,25.15779677594285,40.12603884836307,32.09897747490015,177.0,288.0
secondary_v1_current,Acetate,50,687.4481678828529,13.748963357657058,0.12977858110308457,0.10573871395454573,0.3,0.39
secondary_v1_current,O2,32,98.12937294072681,3.066542904397713,0.35023094691347384,0.2976180633320008,0.615,1.3499999999999999
secondary_v2_phase_o2free,Pyr,313,1861.1009362403186,5.9460093809594845,14.630664295053093,11.136391197004103,35.0,98.0
secondary_v2_phase_o2free,AcAld,193,2644.4340129995744,13.701730637303495,29.612679054543914,23.54345403720778,177.0,288.0
secondary_v2_phase_o2free,Acetate,50,673.2453302389858,13.464906604779717,0.12843095651304307,0.1045632878700391,0.3,0.39
secondary_v2_phase_o2free,O2,32,188.85072316485935,5.901585098901855,0.4858635651662658,0.42387951602779433,0.615,1.3499999999999999
secondary_v2_phase_o2fixed,Pyr,313,2292.756081723634,7.325099302631418,16.238952395235692,12.125477987210436,35.0,98.0
secondary_v2_phase_o2fixed,AcAld,193,2685.565448742509,13.914846884676212,29.84208773895147,23.59869122239492,177.0,288.0
secondary_v2_phase_o2fixed,Acetate,50,677.5812429736025,13.55162485947205,0.12884386074956486,0.10502647566810847,0.3,0.39
secondary_v2_phase_o2fixed,O2,32,98.12937294072681,3.066542904397713,0.35023094691347384,0.2976180633320008,0.615,1.3499999999999999
secondary_v2_reduced_o2fixed,Pyr,313,2291.9548448806772,7.322539440513346,16.236114678656357,12.128513142973345,35.0,98.0
secondary_v2_reduced_o2fixed,AcAld,193,2686.893738857875,13.921729216880182,29.84946682740467,23.615168947836548,177.0,288.0
secondary_v2_reduced_o2fixed,Acetate,50,677.1163670480565,13.54232734096113,0.12879965447421585,0.10496049422675173,0.3,0.39
secondary_v2_reduced_o2fixed,O2,32,98.12937294072681,3.066542904397713,0.35023094691347384,0.2976180633320008,0.615,1.3499999999999999
