process_token,campaign_token,include_submission_dataset,event_type,time_h,density_kg_m3_at_record,recorded_amount,recorded_field,recorded_unit_basis,model_use_policy
P25_01,C25_01,True,initial_charge,0.0,1066.0,87.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_01,C25_01,True,process_pulse,42.0,1036.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_02,C25_01,True,initial_charge,0.0,1065.0,87.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_02,C25_01,True,process_pulse,42.0,1047.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_03,C25_02,True,initial_charge,0.0,1061.0,48.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_03,C25_02,True,process_pulse,24.0,1053.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_04,C25_02,True,initial_charge,0.0,1060.0,48.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_04,C25_02,True,process_pulse,24.0,1053.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_05,C25_03,True,initial_charge,0.0,1059.0,50.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_05,C25_03,True,process_pulse,24.0,1049.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_06,C25_03,True,initial_charge,0.0,1059.0,50.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_06,C25_03,True,process_pulse,24.0,1049.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_07,C25_04,True,initial_charge,0.0,1059.0,41.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
P25_07,C25_04,True,process_pulse,36.0,1059.0,100.0,pulso_nut,unresolved_in_source_workbook,do_not_convert_to_nitrogen_without_product_or_protocol_metadata
