candidate,medium,family,theta_disagreement_weighted_rmse
synthetic_fructose_rich_glucose_pulse,synthetic,sugar_separation,2.168342999958759
synthetic_late_ethanol_death_probe,synthetic,death,1.5457172058363233
synthetic_low_yan_ladder,synthetic,nitrogen_saturation,1.2117817933416932
synthetic_viable_biomass_step,synthetic,biomass_input,1.2085141059129894
natural_glucose_pulse_after_growth,natural,natural_sugar_pulse,1.1370775048958393
synthetic_glucose_rich_fructose_pulse,synthetic,sugar_separation,1.0792004771072639
natural_cold_hot_switch,natural,natural_temperature,1.024900553744984
synthetic_high_sugar_reference,synthetic,synthetic_baseline,0.8729927289371723
synthetic_ethanol_inhibition_challenge,synthetic,ethanol_inhibition,0.7920254723230167
synthetic_high_biomass_low_N_maintenance,synthetic,maintenance,0.6096988344277418
