ID,fecha_hora,t,temperatura,densidad,Viability,Peso Seco,GLUCOSE,FRUCTOSE,PAN,AMMONIA,YAN,GLYCEROL,PYRUVIC ACID,PYRUVIC ACID2,ACETALDEHIDO,ETANOL,pulso_nut,bencil_alcohol_total,benzaldehido_total,decanoato_de_etilo_total,hexil_acetate_total,isoamil_acetate_total,octanoate_de_etilo_total,phenylethylacetate_total,Ethyl_Acetate_total,Código ensayo,fecha_hora_original,fecha_hora_nota,base_t_origen,temperatura_fuente,temperatura_evento_activo,protocolo_inferido,pulso_nut_evento,pulso_nut_t_h,pulso_nut_tipo,Brix,pH,DO,Oculyze Concentration,Oculyze Budding,Y15 Glucosa-Fructosa,Y15 Acetico,Cf Alcolyzer (% v/v),Cf Alcolyzer Real (% v/v),Tipo muestra,Hito,Matriz,Volumen total (mL),Contenedores,Análisis planificados,Estado muestreo,Peso recipiente (g),Extracto seco (g),GC-MS/MS MEF,GC-MS/MS Cond,Freezer,Caja,Posición,Aroma Vol GC (mL),Aroma Dilución 1:X,Aroma GA muestra (% v/v),Aroma EtOH objetivo (%),Aroma Alcohol HPLC 100% (uL),Aroma Vol muestra (µL),Temporada,Proyecto,Escala,Lote,Reactor/Estanque,Condición,Réplica,Variedad,Levadura,Volumen inicial (L),Objetivo específico,Observaciones ensayo,Codigo_fuente,Cubada,Temperatura Medida,Temperatura_operacional_columna_Temperatura,Adicion,GLU-FRU-320,GLUCOSE-320,FRUCTOSE_inferida,C_total,C_viable,Budding_Index,DateTime_serial,Archivo_origen,flag_calidad,observaciones_CCD
MS007-0,2025-10-06 12:00:00,0.0,15,1098.6,,,125.34,120.52000000000001,14.0,256.0,224.0,0.34,3.0,,,0.0,1,,,,,,,,,MS007,2025-10-06 12:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,23.7,,,15.0,,245.86,,,,Muestreo cinético,0,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-0,MS007,16.6,15,1,245.86,125.34,120.52000000000001,15.0,,,2025-10-06 12:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-1,2025-10-06 15:30:00,3.5,15,1098.5,46.69,,119.63,114.87,87.0,244.0,287.0,0.44,5.0,,,,1,,,,,,,,,MS007,2025-10-06 15:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,23.6,,,23.77,10.5,234.5,,,,Muestreo cinético,1,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-1,MS007,16.2,15,1,234.5,119.63,114.87,23.77,11.1,10.5,2025-10-06 15:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-2,2025-10-07 10:30:00,22.5,15,1096.1,44.56,,120.58,115.91000000000001,72.0,250.0,277.0,0.81,13.0,,,,1,,,,,,,,,MS007,2025-10-07 10:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,23.3,,,37.4,18.28,236.49,,,,Muestreo cinético,2,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-2,MS007,16.1,15,1,236.49,120.58,115.91000000000001,37.4,16.67,18.28,2025-10-07 10:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-3,2025-10-08 10:30:00,46.5,15,1091.8,47.2,,109.59,109.99000000000001,93.0,296.0,335.0,1.74,42.0,,,,1,,,,,,,,,MS007,2025-10-08 10:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,22.2,,,49.31,16.82,219.58,,,,Muestreo cinético,3,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-3,MS007,16.1,15,1,219.58,109.59,109.99000000000001,49.31,23.27,16.82,2025-10-08 10:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-4,2025-10-09 10:00:00,70.0,15,1083.6,57.19,,97.28,105.38999999999999,64.0,272.0,286.0,2.87,73.0,,,,1,,,,,,,,,MS007,2025-10-09 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,20.3,,,72.12,18.32,202.67,,,,Muestreo cinético,4,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-4,MS007,15.6,15,1,202.67,97.28,105.38999999999999,72.12,41.24,18.32,2025-10-09 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-5,2025-10-10 10:00:00,94.0,15,1068.9,63.67,,74.03,96.56,51.0,199.0,214.0,4.34,79.0,,,3.87,1,,,,,,,,,MS007,2025-10-10 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,17.1,,,75.27,15.51,170.59,,,,Muestreo cinético,5,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-5,MS007,15.8,15,1,170.59,74.03,96.56,75.27,47.93,15.51,2025-10-10 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-6,2025-10-13 09:30:00,165.5,15,1035.5,70.88,,30.35,64.52000000000001,42.0,109.0,131.0,6.3,55.0,,,8.44,1,,,,,,,,,MS007,2025-10-13 09:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,9.3,,,75.96,10.72,94.87,,,,Muestreo cinético,6,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-6,MS007,18.1,15,1,94.87,30.35,64.52000000000001,75.96,53.84,10.72,2025-10-13 09:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-7,2025-10-14 10:00:00,190.0,15,1028.2,64.63,,20.42,56.05,43.0,91.0,117.0,6.3,38.0,,,,1,,,,,,,,,MS007,2025-10-14 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,7.4,,,67.97,10.06,76.47,,,,Muestreo cinético,7,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-7,MS007,16.2,15,1,76.47,20.42,56.05,67.97,43.93,10.06,2025-10-14 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS007-8,2025-10-15 09:00:00,213.0,15,1020.9,63.57,,14.64,49.08,45.0,90.0,119.0,6.76,35.0,,,10.04,1,,,,,,,,,MS007,2025-10-15 09:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion1,1,,Factor CCD Adicion,5.6,,,72.73,11.72,63.72,,,,Muestreo cinético,8,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS007,MS007,T=15; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS007-8,MS007,16.9,15,1,63.72,14.64,49.08,72.73,46.24,11.72,2025-10-15 09:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-0,2025-10-06 12:00:00,0.0,15,1097.1,,,124.28,119.63,13.0,249.0,218.0,0.38,4.0,,,0.0,4,,,,,,,,,MS008,2025-10-06 12:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,23.4,,,15.0,,243.91,,,,Muestreo cinético,0,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-0,MS008,16.8,15,4,243.91,124.28,119.63,15.0,,,2025-10-06 12:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
