Cubada,n_registros,fecha_inicio,fecha_termino,t_min_h,t_max_h,temperatura_setpoint,temperatura_medida_min,temperatura_medida_max,densidad_inicial,densidad_final,n_etanol,n_yan,n_glu_fru,adicion
MS007,9,2025-10-06 12:00:00,2025-10-15 09:00:00,0.0,213.0,15,15.6,18.1,1098.6,1020.9,4,9,9,1
MS008,9,2025-10-06 12:00:00,2025-10-15 09:00:00,0.0,213.0,15,15.6,17.8,1097.1,1014.7,4,9,9,4
MS009,9,2025-10-06 12:00:00,2025-10-15 09:00:00,0.0,213.0,23,18.8,23.5,1095.4,989.8,4,9,9,1
MS010,9,2025-10-20 12:00:00,2025-10-29 09:30:00,0.0,213.5,19,19.1,20.6,1097.9,992.0,4,8,9,1
MS011,9,2025-10-20 12:00:00,2025-10-29 09:30:00,0.0,213.5,19,19.1,20.3,1097.2,996.4,4,8,9,4
MS012,9,2025-10-20 12:00:00,2025-10-29 09:30:00,0.0,213.5,23,22.6,23.6,1095.3,988.8,4,8,9,4
MS013,8,2025-11-03 12:00:00,2025-11-12 09:00:00,0.0,213.0,19,18.8,20.7,1098.4,993.9,4,8,8,3
MS014,8,2025-11-03 12:00:00,2025-11-12 09:00:00,0.0,213.0,19,19.0,20.6,1101.2,995.6,4,8,8,3
MS015,8,2025-11-03 12:00:00,2025-11-12 09:00:00,0.0,213.0,15,15.8,18.5,1098.3,1016.3,4,8,8,3
MS016,8,2025-11-03 17:00:00,2025-11-12 09:00:00,0.0,208.0,23,22.7,23.4,1098.5,989.0,4,8,8,3
